dn1n2,dn1p2,dre1n2,dre1rh2,dre1lh2,dle1n2,dle1rh2,dle1lh2,drk1n2,drk1rh2,drk1lh2,drk1rk2,drk1lk2,dlk1n2,dlk1rh2,dlk1lh2,dlk1rk2,dlk1lk2,dra1la2,dra1ra2,dra1rh2,dra1lh2,dra1rk2,dra1lk2,dla1la2,dla1ra2,dla1rh2,dla1lh2,dla1rk2,dla1lk2,drw1n2,drw1ne2,drw1rs2,drw1ls2,drw1p2,drw1rw2,drw1lw2,drw1re2,drw1le2,drw1rh2,drw1lh2,dlw1n2,dlw1ne2,dlw1rs2,dlw1ls2,dlw1p2,dlw1rw2,dlw1lw2,dlw1re2,dlw1le2,dlw1rh2,dlw1lh2,dn2p1,dre2n1,dre2rh1,dre2lh1,dle2n1,dle2rh1,dle2lh1,drk2n1,drk2rh1,drk2lh1,drk2lk1,dlk2n1,dlk2rh1,dlk2lh1,dlk2rk1,dra2rh1,dra2lh1,dra2rk1,dra2lk1,dla2rh1,dla2lh1,dla2rk1,dla2lk1,drw2n1,drw2ne1,drw2rs1,drw2ls1,drw2p1,drw2re1,drw2le1,drw2rh1,drw2lh1,dlw2n1,dlw2ne1,dlw2rs1,dlw2ls1,dlw2p1,dlw2re1,dlw2le1,dlw2rh1,dlw2lh1,label
0,0,0,370.74,358.52,0,123.81,80.11,0,177.79,150.66,148.1,269.6,0,188.68,163.37,161.01,276.9,400.19,171.19,176.14,148.71,146.11,268.52,400.56,172.04,176.96,149.68,147.11,269.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448.63,593.97,455.16,432.71,422.29,0,433.71,550.46,519.43,206.09,396.71,352.39,113.44,357.45,307.53,161.01,252.23,422.52,381.22,269.6,368.42,320.2,172.89,184.07,516.31,483.09,400.92,405.87,0,0,0,0,0,0,0,0,0,191.23,155.54,176.78,164.47,155.72,389.2,171.33,389.2,343.91,fight
0,0,0,223.66,242.4,0,192.6,214.08,0,50.49,106.23,0,278.09,0,152.43,178.81,0,313.08,204.36,178.44,153.38,179.61,0,313.54,203.65,177.63,152.43,178.81,0,313.08,0,0,0,0,0,379.87,0,0,0,201.31,221.95,0,0,0,0,0,365.83,0,0,0,173.37,196.96,0,0,0,0,0,0,0,0,0,0,0,0,401.73,416.39,278.09,308.08,326.98,104.24,177.63,323.78,341.81,144.17,203.65,0,326.61,338.2,345.03,326.2,392.17,375.33,436.32,449.86,0,0,0,0,0,0,0,0,0,fight
0,212.92,0,498.44,456.08,0,356.39,294.24,0,453.11,406.05,350.85,336.01,0,329.46,260.98,162.27,127.04,486.95,492.73,331.02,262.95,165.41,131.03,488.32,494.09,333.03,265.48,169.4,136.03,0,422.9,425.84,438.04,421.96,448.63,0,453.65,459.05,519.29,478.77,0,176.59,183.52,210.3,174.35,231.54,0,241.13,251.14,349.28,285.6,0,270.34,347.82,283.8,279.3,354.83,292.36,233.93,320.34,249.37,162.27,211.02,304.01,228.02,336.01,563.95,526.89,581.83,491.68,558.91,521.48,576.94,485.89,261.81,313.06,364.59,275.7,319.16,424.32,242.12,341.23,275.7,0,0,0,0,0,0,0,0,0,fight
0,439.06,0,502.67,446.66,0,509.17,453.96,0,316.99,217.51,162.64,314.2,0,317.35,218.05,163.36,314.57,482.06,174.79,309.31,206.17,147.12,306.45,482.84,176.95,310.54,208.0,149.68,307.69,0,197.65,388.52,436.55,412.35,237.42,0,219.35,295.51,349.81,263.06,0,149.05,366.19,416.81,391.39,198.8,0,176.82,265.48,324.84,228.81,0,266.18,298.24,276.18,331.76,357.99,339.84,266.6,298.62,276.59,163.36,378.61,401.8,385.7,314.2,313.18,292.25,188.04,188.66,547.64,535.94,487.02,487.26,281.26,346.77,442.44,421.71,432.06,432.06,439.6,311.77,290.74,0,0,0,0,0,0,0,0,0,fight
0,439.06,0,502.08,446.66,0,508.59,453.96,0,316.06,217.51,162.64,314.2,0,316.43,218.05,163.36,314.57,133.66,174.79,308.36,206.17,147.12,306.45,135.76,176.41,309.28,207.54,149.04,307.38,0,197.65,388.52,436.55,412.35,238.65,0,219.35,295.51,348.97,263.06,0,149.05,366.19,416.81,391.39,200.26,0,176.82,265.48,323.93,228.81,0,266.18,298.24,276.18,331.76,357.99,339.84,266.6,298.62,276.59,163.36,378.61,401.8,385.7,314.2,313.18,292.25,188.04,188.66,292.22,269.67,150.57,151.34,282.29,347.61,443.09,422.4,432.73,432.73,440.27,312.71,291.74,0,0,0,0,0,0,0,0,0,fight
0,349.89,0,337.25,0,0,62.37,0,0,58.46,0,378.32,173.62,0,359.24,0,518.42,394.69,630.83,677.78,136.62,0,397.96,213.05,902.8,936.21,660.13,0,758.6,680.07,0,535.7,460.32,741.53,349.01,0,0,0,0,307.28,0,0,460.78,370.47,689.37,217.15,0,0,0,0,140.6,0,0,0,0,0,0,0,0,484.5,445.47,374.26,518.42,348.94,292.34,164.6,173.62,706.72,664.15,666.44,754.84,661.83,616.16,618.63,712.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fight
357.78,299.05,208.4,165.31,220.78,487.06,470.24,492.49,207.78,164.54,220.2,79.81,288.95,218.75,178.19,230.59,105.12,296.94,137.71,141.45,192.43,241.75,127.77,305.69,100.41,105.48,167.76,222.63,86.27,290.8,231.53,121.66,120.6,135.07,122.58,0,0,122.58,286.36,193.66,242.74,249.62,153.31,152.47,164.16,154.04,0,0,154.04,301.17,214.96,260.05,393.45,299.05,168.86,238.31,395.48,309.01,351.81,302.0,174.04,242.01,105.12,410.28,327.74,368.37,288.95,184.32,249.51,100.26,121.38,181.47,247.41,94.92,117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fight
0,397.11,0,238.6,275.27,0,372.71,397.19,0,194.65,238.2,121.08,255.2,0,208.4,249.55,142.13,265.83,100.22,145.09,199.02,241.78,127.99,258.54,101.13,145.72,199.48,242.16,128.7,258.9,0,113.02,120.21,106.1,112.51,100.69,0,97.25,340.12,201.84,244.1,0,158.03,163.25,153.16,157.66,149.46,0,147.17,357.61,230.08,267.93,0,393.06,151.16,236.1,510.61,359.27,402.46,403.17,175.79,252.58,142.13,461.53,285.25,338.02,255.2,188.6,261.66,139.03,157.7,156.73,239.71,91.24,117.75,393.93,363.01,296.23,441.83,368.99,162.26,329.11,153.39,237.54,0,0,0,0,0,0,0,0,0,fight
432.9,431.73,177.73,288.06,231.31,376.49,439.48,404.56,119.95,256.48,190.54,166.33,262.88,126.13,259.42,194.49,170.84,265.75,131.04,132.2,265.77,202.87,180.32,271.95,83.19,85.0,245.73,175.8,149.22,252.4,309.48,307.46,328.7,305.29,307.84,310.66,403.95,307.92,0,383.63,343.07,354.77,353.01,371.65,351.12,353.34,355.8,439.61,353.41,0,421.02,384.42,377.98,431.79,165.42,259.67,0,0,0,447.98,203.97,285.77,170.84,492.06,288.18,350.86,262.88,162.98,258.12,112.36,118.93,162.05,257.53,111.0,117.64,433.75,374.51,305.77,452.55,378.94,179.78,377.47,170.47,262.91,504.77,454.88,400.2,521.02,458.54,314.61,457.32,309.39,368.48,fight
444.79,439.65,207.58,245.58,257.53,411.52,431.94,438.84,132.46,186.45,201.93,175.57,285.7,162.83,209.12,223.04,199.48,300.99,133.18,150.46,205.24,219.4,195.41,298.3,139.09,155.71,209.12,223.04,199.48,300.99,377.4,369.87,396.09,368.76,371.32,374.99,0,397.62,0,399.57,407.02,340.57,332.2,361.17,330.96,333.82,337.89,0,362.84,0,364.97,373.12,385.67,462.07,219.94,295.67,0,0,0,459.48,214.45,291.61,199.48,511.78,311.11,368.56,285.7,174.47,263.6,123.6,155.71,159.81,254.14,101.87,139.09,442.75,381.84,307.79,459.5,383.31,203.16,409.31,175.76,264.46,0,0,0,0,0,0,0,0,0,fight
443.25,439.73,201.8,308.46,249.04,396.87,460.36,422.85,129.32,266.74,194.99,203.32,294.33,121.76,263.15,190.06,198.6,291.08,136.95,137.12,277.98,210.11,217.87,304.56,67.07,67.42,251.03,172.89,182.24,280.17,77.41,45.8,151.58,78.29,53.76,92.7,124.62,89.05,138.05,245.8,165.2,406.72,401.91,427.09,406.89,402.89,409.91,418.28,409.1,422.48,468.88,432.11,376.69,445.43,169.59,251.41,457.75,199.72,272.64,470.2,226.81,293.06,198.6,516.11,311.01,362.18,294.33,150.92,239.21,112.59,103.81,150.76,239.11,112.38,103.59,446.17,381.59,313.73,447.15,380.13,208.15,400.13,171.54,252.72,453.88,390.57,324.6,454.84,389.14,224.19,408.71,190.69,266.09,fight
444.01,446.4,240.88,357.6,286.5,383.18,465.49,413.39,104.4,284.18,186.99,228.09,291.68,99.62,282.46,184.36,225.94,290.0,127.48,143.27,293.91,201.47,240.1,301.17,68.71,94.85,273.59,170.47,214.76,281.38,338.33,341.14,369.69,339.61,341.46,380.19,529.95,383.96,349.07,429.33,372.2,360.25,362.89,389.85,361.45,363.19,399.82,544.21,403.41,370.35,446.81,392.23,382.18,479.69,245.81,291.43,452.25,186.68,243.63,488.13,261.9,305.12,225.94,520.89,318.82,355.18,291.68,177.4,236.59,122.07,118.0,164.91,227.38,103.08,98.23,476.68,417.87,361.71,479.47,419.69,296.81,420.59,239.89,286.45,602.93,557.6,516.85,605.14,558.97,473.71,559.65,440.28,467.29,fight
488.02,444.54,288.59,332.2,248.6,431.93,462.21,406.31,223.08,277.2,168.18,248.56,282.96,240.01,291.0,190.07,263.86,296.49,501.91,57.94,271.43,158.48,242.1,277.31,499.48,30.41,266.91,150.62,237.02,272.89,291.36,210.32,243.79,204.3,210.58,280.79,205.51,338.6,209.31,334.61,251.81,467.34,421.6,439.26,418.63,421.73,460.83,419.22,498.16,421.1,495.46,443.76,422.77,517.61,313.7,356.74,443.94,166.03,237.54,500.18,284.01,330.94,263.86,518.14,314.56,357.5,282.96,159.39,232.95,80.78,119.85,523.42,550.3,505.06,512.76,481.79,415.12,351.4,482.7,415.56,277.92,424.88,250.2,302.42,442.16,368.39,294.74,443.16,368.89,201.56,379.35,161.21,234.2,fight
443.9,449.54,198.29,340.64,256.63,402.1,488.26,433.85,86.35,290.13,184.39,257.47,270.88,114.59,299.75,199.18,268.26,281.16,505.89,76.37,285.16,176.47,251.86,265.55,503.72,60.37,281.3,170.16,247.48,261.4,195.35,207.08,249.8,191.02,207.86,317.8,197.95,272.24,194.36,338.94,254.37,434.94,440.33,461.96,433.01,440.7,502.0,436.11,474.47,434.49,515.64,464.45,388.17,482.7,237.5,293.32,443.46,141.65,222.93,505.85,281.58,330.02,268.26,512.8,293.89,340.59,270.88,147.26,226.53,93.23,119.85,521.32,549.01,508.71,514.25,509.78,462.07,400.77,527.22,462.07,319.61,473.83,288.59,336.03,445.05,389.49,314.33,464.92,389.49,200.85,403.37,146.54,226.06,fight
459.95,465.11,201.81,342.03,264.7,437.1,517.03,469.46,99.64,293.57,198.16,250.84,276.39,127.12,304.0,213.3,262.97,287.45,506.45,76.06,288.88,191.13,245.33,271.4,503.51,53.08,283.69,183.2,239.2,265.88,192.17,204.86,248.56,185.13,204.22,319.1,192.72,350.75,186.55,336.43,257.42,486.79,491.93,511.68,484.05,491.67,549.41,487.0,568.38,484.59,559.66,516.04,409.81,545.58,338.71,391.56,457.63,162.78,255.13,514.34,285.69,346.72,262.97,527.27,308.37,365.63,276.39,164.98,256.54,92.31,121.46,527.19,562.6,509.15,515.23,525.78,482.12,419.33,549.41,482.54,325.0,505.92,305.81,363.48,460.18,409.58,333.4,487.0,410.07,202.34,437.35,169.81,259.68,fight
464.56,475.2,183.97,340.47,266.11,448.61,532.29,488.08,91.29,300.68,212.85,244.52,290.13,124.92,312.54,229.3,258.96,302.4,521.46,341.24,291.62,199.84,233.28,280.72,522.12,342.24,292.8,201.56,234.75,281.95,178.1,204.27,246.78,178.32,204.27,361.61,0,370.41,0,337.34,262.09,487.48,497.64,516.55,487.56,497.64,580.25,0,585.77,0,565.44,524.03,403.29,566.83,357.71,403.27,0,0,0,516.98,271.89,329.54,258.96,540.05,313.54,364.66,290.13,368.71,413.06,349.01,359.28,539.84,571.05,526.58,533.44,561.12,512.74,448.31,580.25,511.56,364.54,547.99,348.59,395.2,0,0,0,0,0,0,0,0,0,fight
0,734.48,0,0,0,0,0,0,0,0,0,361.37,177.09,0,0,0,480.76,363.19,0,685.68,0,0,378.58,210.0,0,782.74,0,0,534.65,432.0,0,785.92,738.26,832.4,784.37,0,0,0,0,0,0,0,622.59,561.23,680.33,620.64,0,0,0,0,0,0,0,0,0,0,0,0,0,547.42,357.62,357.07,480.76,447.72,169.31,168.15,177.09,674.33,674.04,676.32,746.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fight
470.79,469.87,178.77,340.77,312.85,442.9,529.46,511.94,97.08,305.93,274.49,250.0,303.06,128.71,317.38,287.2,263.89,314.62,521.31,69.3,297.07,264.58,239.08,294.11,521.5,70.72,297.41,264.95,239.49,294.45,177.79,191.88,237.01,202.37,175.33,366.41,0,379.7,190.18,340.26,312.3,487.73,493.04,512.29,497.21,486.83,583.55,0,591.98,492.38,567.49,551.18,409.06,578.1,375.69,427.65,475.61,182.04,273.65,524.13,285.75,351.28,263.89,551.42,333.16,390.82,303.06,171.16,266.54,100.72,131.47,544.29,581.38,526.41,533.15,569.46,520.38,461.05,582.71,519.59,366.89,546.64,362.25,415.9,0,0,0,0,0,0,0,0,0,fight
0,467.01,0,344.22,286.81,0,522.6,486.71,0,316.72,253.15,254.95,310.16,0,317.06,253.58,255.38,310.52,112.16,113.45,309.2,243.68,245.55,302.48,110.63,111.95,308.65,242.98,244.86,301.92,0,213.84,214.11,215.03,212.02,0,492.02,404.93,0,364.9,311.33,0,444.88,445.01,445.46,444.01,0,627.91,562.28,0,534.18,499.12,0,580.62,386.85,432.6,0,0,0,520.57,289.01,347.88,255.38,549.72,338.71,390.16,310.16,190.0,271.29,132.57,133.41,189.23,270.75,131.47,132.31,0,0,0,0,0,0,0,0,0,644.38,598.28,552.01,652.4,599.62,476.88,618.09,477.24,515.03,fight
0,467.0,0,335.11,291.81,0,517.81,490.9,0,307.72,259.9,255.38,312.39,0,307.72,259.9,255.38,312.39,112.04,112.7,299.32,249.9,245.2,304.12,111.29,111.95,299.04,249.56,244.86,303.84,0,217.12,220.05,219.49,216.01,0,0,407.89,402.81,359.2,319.19,0,442.55,443.99,443.72,442.0,0,0,561.32,557.64,527.0,500.59,0,581.21,388.65,436.43,577.66,383.31,431.69,520.57,290.22,351.65,255.38,550.77,341.46,394.99,312.39,191.85,276.1,133.41,133.41,191.46,275.84,132.85,132.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fight
428.12,422.05,249.23,411.67,379.51,367.5,492.35,465.8,134.63,354.23,316.29,267.87,289.13,163.62,366.23,329.67,283.54,303.71,506.01,178.23,356.71,319.06,271.13,292.16,510.89,191.64,363.59,326.74,280.13,300.53,155.93,137.64,152.82,132.14,138.37,182.48,180.42,285.36,247.19,362.86,325.93,269.12,258.95,267.33,256.07,259.34,285.33,284.02,359.92,330.48,424.0,392.86,399.71,490.32,337.25,395.51,469.13,305.63,368.91,486.74,332.03,391.07,283.54,498.76,349.41,405.93,289.13,261.72,333.44,173.22,196.6,541.09,579.19,504.27,512.77,438.49,408.9,358.85,463.46,410.8,266.65,379.53,256.13,329.08,437.64,407.98,357.81,462.65,409.89,265.24,378.54,254.67,327.94,fight
519.48,447.77,396.81,422.96,388.02,460.42,483.14,452.87,336.79,367.24,326.39,276.01,175.24,535.41,555.07,528.93,499.42,451.6,501.34,468.54,389.57,351.32,305.09,218.19,501.01,468.18,389.13,350.84,304.53,217.41,449.72,534.22,327.43,543.92,364.54,341.87,391.65,0,0,472.96,441.99,355.98,458.11,178.01,469.39,239.51,203.34,279.04,0,0,384.92,346.16,570.52,0,0,0,0,0,0,482.3,367.79,419.61,499.42,432.6,299.67,361.39,175.24,511.59,550.02,450.15,613.08,541.79,578.22,484.2,638.5,429.52,544.27,415.22,565.67,490.01,268.48,355.82,295.19,357.69,470.11,576.84,457.08,597.08,525.96,329.54,403.89,351.65,405.53,fight
0,421.92,0,614.26,613.69,0,488.07,487.34,0,535.65,534.99,428.03,503.4,0,385.65,384.73,212.17,339.44,526.64,532.23,403.19,402.32,242.61,359.25,527.75,533.32,404.64,403.76,245.0,360.87,0,494.52,469.88,276.32,327.04,600.65,349.07,425.73,281.9,448.26,447.48,0,468.56,442.48,226.61,286.28,579.47,311.21,395.28,233.39,419.45,418.61,0,502.31,440.94,466.74,387.99,304.38,340.69,410.24,332.28,365.83,212.17,488.36,424.99,451.7,503.4,578.64,598.53,638.45,519.06,573.5,593.57,633.8,513.33,657.15,722.72,759.44,683.1,720.03,732.91,630.91,611.52,630.38,439.22,532.35,581.23,477.18,528.69,546.1,398.9,367.46,398.06,fight
0,567.84,0,604.88,656.13,0,604.03,655.34,0,520.4,579.17,445.14,448.09,0,521.2,579.89,446.07,449.02,280.19,277.48,374.99,453.04,260.66,265.68,281.66,278.96,376.09,453.94,262.24,267.23,0,221.84,446.78,455.77,451.27,238.82,228.62,553.26,367.3,370.68,449.47,0,548.57,671.81,677.82,674.8,555.65,551.34,746.87,621.79,623.79,673.6,0,651.84,625.45,639.27,503.7,469.05,487.32,428.4,387.07,409.02,446.07,431.47,390.47,412.23,448.09,398.59,419.93,455.19,456.1,400.48,421.73,456.84,457.75,419.33,468.86,483.24,516.94,500.07,534.34,533.37,377.0,399.5,413.6,463.74,478.28,512.31,495.28,529.85,528.88,370.62,393.49,fight
0,425.64,0,512.0,454.33,0,502.54,443.64,0,437.39,368.21,254.62,239.82,0,598.54,550.02,481.43,473.77,523.76,531.25,448.89,381.81,273.91,260.22,522.71,530.22,447.67,380.37,271.9,258.09,0,336.96,338.37,519.23,347.89,445.48,346.85,316.08,344.82,516.85,459.8,0,309.01,310.54,501.54,320.88,424.73,319.76,286.09,317.55,499.08,439.72,0,400.06,310.08,327.07,423.14,339.33,354.93,448.11,370.01,384.36,481.43,439.87,359.98,374.72,239.82,586.6,595.76,521.56,662.55,579.83,589.09,513.93,656.56,508.52,505.38,522.8,519.61,521.2,439.84,428.79,441.24,453.35,424.79,421.03,441.78,438.0,439.89,339.58,325.14,341.39,356.9,fight
574.88,458.7,457.96,488.87,439.22,480.55,510.1,462.73,419.07,452.64,398.5,301.81,303.4,432.52,465.12,412.63,320.22,321.73,500.94,261.2,449.86,395.34,297.62,299.23,507.16,272.94,456.78,403.19,307.98,309.54,529.63,385.73,394.06,566.32,400.54,466.2,400.73,455.0,0,556.58,513.52,406.12,182.22,199.25,452.91,211.79,319.0,212.14,302.4,0,440.68,384.86,553.31,506.95,400.57,469.0,0,0,0,495.94,386.53,457.08,320.22,496.91,387.78,458.13,303.4,359.25,434.25,265.97,286.69,558.36,609.33,503.44,514.69,517.03,494.58,472.61,513.67,492.94,382.83,409.59,413.24,479.88,458.86,433.42,408.17,455.08,431.54,299.67,333.17,337.65,416.56,fight
0,477.45,0,474.71,424.53,0,512.77,466.7,0,487.06,438.29,343.11,349.34,0,472.36,421.9,321.91,328.54,550.02,347.4,502.56,455.46,364.78,370.64,515.64,289.93,464.69,413.29,310.54,317.4,0,330.84,338.05,325.39,330.84,480.92,0,324.52,0,526.43,481.66,0,171.92,185.42,161.19,171.92,389.08,0,159.42,0,444.1,390.0,0,473.09,272.41,347.22,0,0,0,525.48,355.69,415.78,321.91,529.56,361.7,420.93,349.34,337.84,400.62,324.58,302.07,544.03,585.09,535.89,522.57,591.42,575.66,541.21,610.67,575.27,423.68,465.93,447.4,496.52,0,0,0,0,0,0,0,0,0,fight
507.8,683.65,544.54,649.94,0,393.81,530.09,0,393.36,529.75,0,358.59,170.51,481.5,598.12,0,453.54,325.86,0,0,860.13,0,766.67,698.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413.0,613.59,560.02,673.27,616.52,0,0,0,862.32,544.49,0,493.74,0,0,0,911.53,852.21,852.15,481.36,356.51,356.36,453.54,363.59,166.09,165.77,170.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fight
678.07,514.94,523.07,496.78,446.01,552.3,527.46,479.95,533.13,507.36,457.76,375.66,404.49,518.48,491.95,440.62,354.57,384.98,373.41,582.8,517.23,468.68,388.89,416.8,363.64,576.59,510.22,460.93,379.52,408.07,567.28,355.17,362.64,352.16,356.63,399.4,0,405.94,0,543.13,497.12,481.7,190.71,204.29,185.05,193.42,264.09,0,273.88,0,453.01,396.68,646.78,550.24,345.41,426.69,0,0,0,562.74,365.0,442.7,354.57,582.38,394.61,467.41,404.49,567.13,620.0,574.05,560.48,348.46,429.16,359.61,337.52,545.43,504.62,452.64,560.39,506.0,333.64,377.82,337.7,420.48,0,0,0,0,0,0,0,0,0,fight
532.02,534.44,294.85,495.83,457.99,380.43,551.04,517.25,350.56,530.85,495.69,424.69,510.08,260.1,475.99,436.43,353.73,452.71,401.33,483.66,526.27,490.78,418.96,505.32,398.77,481.54,524.33,488.7,416.52,503.29,290.88,296.44,329.85,291.49,295.26,338.37,0,337.34,0,493.48,455.44,232.36,239.28,279.61,233.12,237.82,289.61,0,288.4,0,461.41,420.48,477.64,558.78,306.24,391.76,0,0,0,583.55,349.38,426.34,353.73,648.34,449.32,511.45,510.08,424.82,490.07,488.64,428.4,328.03,409.02,407.31,332.66,559.41,510.31,449.86,567.01,507.96,341.8,417.87,307.38,392.65,0,0,0,0,0,0,0,0,0,fight
537.58,534.94,304.16,479.32,452.31,472.22,600.18,578.84,346.15,507.0,481.54,432.14,493.76,276.99,462.55,434.5,379.01,448.0,422.47,613.2,525.44,500.92,453.63,512.68,421.6,612.61,524.74,500.19,452.82,511.96,303.19,297.97,303.19,295.75,298.49,511.61,525.59,311.81,306.73,478.7,451.65,580.24,577.53,580.24,576.38,577.79,711.69,721.8,584.79,582.09,688.41,669.88,478.65,542.49,290.15,377.75,539.58,284.68,373.57,596.58,381.85,452.02,379.01,642.63,450.41,511.25,493.76,562.18,612.01,597.48,560.26,344.25,420.73,399.3,341.09,677.36,631.23,591.85,673.43,631.61,512.19,626.75,498.71,554.27,687.98,642.61,603.98,684.11,642.98,526.16,638.21,513.04,567.2,fight
539.56,721.0,310.72,467.73,485.27,505.66,614.75,628.2,320.63,474.37,491.68,403.89,408.87,334.52,483.87,500.85,415.0,419.85,428.92,436.99,518.71,534.59,455.15,459.58,428.92,436.99,518.71,534.59,455.15,459.58,302.79,566.89,514.51,619.49,566.04,347.82,308.99,429.96,331.48,462.5,480.23,437.92,649.2,604.0,695.6,648.46,470.18,442.24,533.82,458.23,560.36,575.08,675.25,619.93,421.67,711.16,556.17,320.66,656.32,592.83,380.72,687.66,415.0,596.23,386.0,690.6,408.87,358.8,675.78,383.3,394.99,348.93,670.59,374.08,386.05,566.06,695.63,715.97,677.27,696.6,354.74,533.85,337.52,664.72,543.07,677.06,697.93,658.17,678.05,316.76,509.4,297.36,645.26,fight
536.15,539.03,336.44,470.23,455.64,540.14,632.19,621.42,291.97,439.51,423.87,369.2,374.25,318.64,457.66,442.66,390.62,395.41,564.79,655.06,629.64,618.83,582.74,585.96,425.42,539.55,508.38,494.92,448.98,453.15,313.69,317.59,333.14,311.01,318.59,410.44,620.92,339.74,328.27,454.23,439.11,455.54,458.22,469.14,453.69,458.92,526.85,703.32,473.85,465.7,561.63,549.48,487.87,551.79,367.32,432.92,544.81,356.74,423.99,581.82,411.05,470.6,390.62,585.04,415.6,474.57,374.25,508.41,557.66,475.21,492.05,385.18,448.18,340.15,363.3,597.93,554.6,506.36,605.08,555.04,428.08,601.5,433.54,490.37,758.02,724.34,688.1,763.68,724.68,632.72,760.85,636.43,676.42,fight
517.03,616.05,306.06,397.68,511.6,554.03,609.45,689.21,282.06,379.53,497.62,362.01,377.52,407.04,479.76,577.71,466.02,478.17,405.73,404.88,446.32,550.26,431.53,444.62,409.35,408.51,449.62,552.94,434.94,447.93,322.06,325.56,410.12,526.06,464.66,322.89,467.55,455.38,461.78,410.12,521.33,601.03,602.91,652.47,730.93,688.06,601.48,690.02,681.82,686.12,652.47,727.53,486.04,609.08,449.06,521.33,613.88,455.55,526.94,564.64,386.65,468.65,466.02,574.71,401.21,480.73,377.52,356.67,444.23,329.8,441.46,357.63,445.0,330.84,442.24,517.56,489.59,421.68,551.52,486.59,306.94,554.52,313.92,410.7,618.23,595.01,540.52,646.93,592.55,456.68,649.49,461.4,532.0,fight
627.39,512.56,501.52,432.0,465.15,672.1,621.95,645.42,430.58,347.13,387.61,376.44,388.42,443.29,362.78,401.69,390.91,402.46,369.44,368.52,418.55,452.69,443.16,453.38,368.55,367.63,417.77,451.97,442.42,452.66,485.32,322.69,324.28,322.8,323.48,321.22,0,471.24,0,413.09,447.64,690.7,587.93,588.8,587.98,588.36,587.12,0,680.88,0,642.0,664.77,607.2,616.56,454.58,524.45,0,0,0,591.54,420.02,494.8,390.91,599.24,430.8,503.98,388.42,340.35,429.24,284.82,303.7,341.34,430.03,286.01,304.81,511.14,487.15,424.17,548.13,486.15,345.21,565.13,296.24,395.18,0,0,0,0,0,0,0,0,0,fight
513.47,523.59,371.83,396.36,405.62,597.8,613.37,619.39,291.02,321.77,333.11,397.1,326.68,338.04,364.86,374.89,432.75,369.2,381.25,380.77,402.99,412.1,465.35,406.92,339.84,339.31,364.07,374.12,432.09,368.42,335.49,285.3,518.38,286.01,350.78,401.64,0,331.85,0,362.49,372.59,540.79,511.17,669.78,511.56,550.4,584.13,0,538.54,0,557.94,564.55,520.52,511.1,345.69,425.44,0,0,0,580.22,441.51,506.39,432.75,534.5,379.42,453.28,326.68,351.23,429.95,293.47,340.15,351.75,430.38,294.08,340.69,558.94,564.99,518.95,613.21,565.42,432.46,637.28,413.15,481.86,0,0,0,0,0,0,0,0,0,fight
500.68,481.03,251.0,294.86,271.31,587.68,607.7,596.63,260.23,302.76,279.87,399.94,385.86,290.42,329.07,308.15,420.22,406.83,528.19,248.9,272.47,246.79,377.53,362.58,529.53,251.75,275.07,249.66,379.42,364.54,403.69,380.35,380.35,379.64,379.03,423.96,0,384.53,673.71,432.33,416.62,482.46,463.11,463.11,462.52,462.03,499.54,0,466.55,723.67,506.66,493.33,505.01,485.37,284.52,383.55,735.94,622.08,673.15,585.59,433.92,504.42,420.22,576.06,420.97,493.33,385.86,328.18,416.97,281.74,309.84,569.85,625.21,544.43,559.49,517.17,521.82,451.88,592.3,521.35,282.46,601.78,335.9,423.07,0,0,0,0,0,0,0,0,0,fight
497.52,477.03,267.64,296.23,266.54,543.54,558.17,543.0,258.55,288.04,257.41,391.39,256.84,289.66,316.27,288.65,412.6,288.14,328.72,324.48,338.75,313.12,430.08,312.66,323.68,319.38,333.87,307.83,426.24,307.35,347.13,317.8,327.2,314.03,317.07,359.96,538.92,0,0,369.62,346.28,382.77,356.38,364.79,353.02,355.73,394.44,562.54,0,0,403.28,382.0,508.04,0,0,0,0,0,0,577.81,435.28,504.15,412.6,496.64,319.77,408.59,256.84,331.34,417.71,271.12,300.94,335.49,421.01,276.18,305.5,506.56,513.13,447.1,587.96,516.89,284.09,551.82,334.96,420.59,646.12,651.28,600.64,711.73,654.25,491.5,682.18,522.56,581.18,fight
513.47,475.38,449.07,364.73,0,265.59,43.57,0,436.2,348.76,0,0,389.52,363.55,252.05,0,0,305.98,0,0,696.38,0,0,717.66,0,0,0,0,0,0,495.55,729.12,514.98,776.41,455.97,0,0,0,920.41,420.63,0,296.08,611.32,327.57,667.01,223.61,0,0,0,830.22,137.93,0,382.69,0,0,0,930.18,819.27,819.14,0,0,0,0,474.45,176.26,175.64,389.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fight
